AUTHOR,GENDER,RACE,DATE,TITLE,GENRE,PUBLISHER
Grove Press,na,na,1999,"Ecclesiastes or, The Preacher: authorized King James Version",fiction,GROVE
Grove Press,na,na,1999,The Books of the Biible,fiction,GROVE
Grove Press,na,na,1999,"The Epistles of Paul the Apostle to the Corinthians:: Authorized King James Version, with an introduction",fiction,GROVE
Grove Press,na,na,1999,Selection from the book of Psalms: with an introduction,fiction,GROVE
Darcey Steinke,female,white,1999,Jesus Saves,fiction,GROVE
Lawrence Norfolk,male,white,1999,LempriíÂre's dictionary,fiction,GROVE
Grove Press,na,na,1999,The Pocket Canons,fiction,GROVE
Jerzy Kosinski,male,white,1999,Being There,fiction,GROVE
Joe Orton,male,white,1999,Between Us Girls,fiction,GROVE
Fay Weldon,female,white,1999,Big Girls Don't Cry,fiction,GROVE
Cecile de la Baume,female,white,1999,Crush,fiction,GROVE
Jon A. Jackson,male,white,1999,Dead Folks,fiction,GROVE
Lawrence Chua,male,asian,1999,Gold by the Inch,fiction,GROVE
Vusamazulu Credo Mutwa,male,african,1999,"Indaba, My Children",fiction,GROVE
Bharati Mukherjee,female,asian,1999,Jasmine,fiction,GROVE
Darcey Steinke,female,white,1999,Jesus Saves,fiction,GROVE
Jon A. Jackson,male,white,1999,Man with an Axe  A Detective Sergeant Mulheisen Mystery,fiction,GROVE
Bharati Mukherjee,female,asian,1999,The Middleman and Other Stories,fiction,GROVE
Lew McCreary,male,white,1999,The Minus Man,fiction,GROVE
Erica Kates,female,white,1999,On the Couth  Great American Stories About Therapy,fiction,GROVE
Penelope Lively,female,white,1999,Pack of Cards,fiction,GROVE
Penelope Lively,female,white,1999,Passing On,fiction,GROVE
Penelope Lively,female,white,1999,The Road to Lichfield,fiction,GROVE
John L'Heureux,male,white,1999,The Shrine at Altamira,fiction,GROVE
John Kaye,male,white,1999,Stars Screaming,fiction,GROVE
Regine Deforges,female,white,1999,The Storm and Other Erotica,fiction,GROVE
Will Self,male,white,1999,The Sweet Smell of Psychosis,fiction,GROVE
James Kaplan,male,white,1999,Two Guys from Verona,fiction,GROVE
Ivan Klí_ma,male,white,1999,The Ultimate Intimacy,fiction,GROVE
Fay Weldon,female,white,1999,Wicked Women,fiction,GROVE
Irene Gonzíçlez Frei,female,latinx,1999,Your Name Written on Water,fiction,GROVE
Bruce Jay Friedman,male,white,2000,About Harry Towns,fiction,GROVE
Yoram Kaniuk,male,white,2000,Adam Resurrected,fiction,GROVE
Matthew Stadler,male,white,2000,Allan Stein,fiction,GROVE
Dionne Brand,female,afam,2000,At the Full and Change of Moon,fiction,GROVE
Jon A. Jackson,male,white,2000,The Blind Pig,fiction,GROVE
Jim Harrison,male,white,2000,The Boy Who Ran to the Woods,fiction,GROVE
Galaxy Craze,female,white,2000,By the Shore,fiction,GROVE
Bruce Jay Friedman,male,white,2000,The Collected Short Fiction of Bruce Jay Friedman,fiction,GROVE
John Rechy,male,latinx,2000,Coming of the Night,fiction,GROVE
Jon A. Jackson,male,white,2000,The Diehard,fiction,GROVE
Matthew Stadler,male,white,2000,The Dissolution of Nicholas Dee His Researches,fiction,GROVE
Ana Teresa Torres,female,latinx,2000,Dona Ines vs. Oblivion,fiction,GROVE
Larry Kramer,male,white,2000,Faggots,fiction,GROVE
Robert Coover,male,white,2000,Ghost Town,fiction,GROVE
John L'Heureux,male,white,2000,Having Everything,fiction,GROVE
Jon A. Jackson,male,white,2000,Hit on the House,fiction,GROVE
Dionne Brand,female,afam,2000,"In Another Place, Not Here",fiction,GROVE
Tristan Egolf,male,latinx,2000,Lord of the Barnyard  Killing the Fatted Calf and Arming the Aware in the Corn Belt,fiction,GROVE
Ivan Klí_ma,male,white,2000,Lovers for a Day,fiction,GROVE
Tom Spanbauer,male,white,2000,The Man Who Fell in Love with the Moon,fiction,GROVE
Caroline Lamarche,female,white,2000,Night in the Afternoon & Other Erotica,fiction,GROVE
Robert Coover,male,white,2000,The Origin of the Brunists,fiction,GROVE
Robert Coover,male,white,2000,Pricksongs & Descants,fiction,GROVE
Rebbecca Ray,female,na,2000,Pure,fiction,GROVE
David Rabe,male,white,2000,Recital of the Dog,fiction,GROVE
Matthew Stadler,male,white,2000,The Sex Offender,fiction,GROVE
Antonia Logue,female,white,2000,Shadow-Box,fiction,GROVE
Darcey Steinke,female,white,2000,Suicide Blonde,fiction,GROVE
Kirsty Gunn,female,white,2000,This Place You Return To is Home,fiction,GROVE
Will Self ,male,white,2000,"Tough, tough Toys for Tough, Tough Boys",fiction,GROVE
Darcey Steinke,female,white,2000,Up Through the Water,fiction,GROVE
Myra McLarey,female,white,2000,Water from the Well,fiction,GROVE
Yxta Maya Murray,female,latinx,2000,What It Takes to Get to Vegas,fiction,GROVE
John L'Heureux,male,white,2000,A Woman Run Mad,fiction,GROVE
William S. Burroughs,male,white,2000,Word Virus  The William S. Burroughs Reader,fiction,GROVE
Rolando Perez,male,latinx,2000,The Electric Comedy,fiction,GROVE
Jon A. Jackson,male,white,2000,La Donna Detroit: A Dectective Sergeant Mulheisen mystery,fiction,GROVE
Grove Press,na,na,2000,The Acts of the Apostles: authorized ,fiction,GROVE
Grove Press,na,na,2000,The books of Ruth and Esther authorized King James version ,fiction,GROVE
Grove Press,na,na,2000,The Book of Isaiah authorized King James Version ,fiction,GROVE
Fay Weldon,female,white,2000,The Bulgair Connection a novel ,fiction,GROVE
Karen Tei Yamashita,female,asian,1968,Eye Hotel,fiction,COFFEE
Karen Tei Yamashita,female,asian,1970,"""I"" Hotel",fiction,COFFEE
Karen Tei Yamashita,female,asian,1974,I-Migrant Hotel,fiction,COFFEE
Keith Abbott,male,white,1984,Harum Scarum: short stories,fiction,COFFEE
Bobbie Louise Hawkins,female,white,1984,One Small saga: a novella,fiction,COFFEE
William Rapin ,male,white,1984,A Penguin in New York,fiction,COFFEE
W.P. Kinsella,male,white,1985,The alligator report: stories,fiction,COFFEE
Alvin Greenberg,male,white,1985,The man in the cardboard mask: short stories,fiction,COFFEE
Pamela Lifton-Zoline,female,white,1985,Annika and the wolves: a fairy tale,fiction,COFFEE
Constance Urdang,female,white,1986,Lucha: a novella,fiction,COFFEE
Keith Abbott,male,white,1987,The first thing coming: short stories,fiction,COFFEE
Evelyn Shefner,female,white,1987,"Comman Body, royal bones: three stories",fiction,COFFEE
Lee Harwood,male,white,1987,Assorted stories: prose works ,fiction,COFFEE
John Updike ,male,white,1987,More Stately mansions: a story,fiction,COFFEE
Andrei Codrescu,male,white,1987,Monsieur Teste in America: & other instances of realism,fiction,COFFEE
Stephen Dixon,male,white,1988,The play and other stories,fiction,COFFEE
Constance Urdang,female,white,1988,American earthquakes: a novel,fiction,COFFEE
Lon Otto,male,white,1988,Cover me: short stories ,fiction,COFFEE
Harriet Zinnes,female,white,1988,Lover: short stories,fiction,COFFEE
Frank Chin,male,asian,1988,The Chinaman Pacific & Frisco R.R. Co.,fiction,COFFEE
W.P. Kinsella,male,white,1988,Alligator Report,fiction,COFFEE
Constance Urdang,female,white,1988,American Earthquakes,fiction,COFFEE
Pamela Zoline,female,white,1988,Annika and the Wolves,fiction,COFFEE
Jack Marshall,male,white,1988,Arabian Nights,fiction,COFFEE
Rochelle Ratner,female,white,1988,Bobby's Girl,fiction,COFFEE
Maxine Chernoff,female,white,1988,Bop,fiction,COFFEE
Evelyn Shefner,female,white,1988,"Common Body, Royal Bones",fiction,COFFEE
Lon Otto,male,white,1988,Cover Me,fiction,COFFEE
Keith Abbott,male,white,1988,First Thing Coming,fiction,COFFEE
"Keith Abbott, Gaylord Schanilec","male, male","white, white",1988,Harum Scarum,fiction,COFFEE
Alvin Greenberg,male,white,1988,Man in the Cardboard Mask,fiction,COFFEE
Andrei Codrescu,male,white,1988,Monsieur Teste in America,fiction,COFFEE
Bobbi Louise Hawkins,female,white,1988,One Small Saga,fiction,COFFEE
William Rapin,male,white,1988,Penguin in New York,fiction,COFFEE
Thomas Disch,male,white,1988,Tale of Dan De Lion,fiction,COFFEE
Carol Emshwiller,male,white,1989,Verging on the Pertinent,fiction,COFFEE
Stephen Dixon,male,white,1989,The Play and Other Stories,fiction,COFFEE
Jonis Agee,female,white,1989,Bend This Heart ,fiction,COFFEE
Michael Aaron Rockland,male,white,1989,Bliss Case,fiction,COFFEE
Harriet Zinnes,female,white,1989,Lover,fiction,COFFEE
Karen Tei Yamashita,female,asian,1990,Through the Arc of the Rain Forest,fiction,COFFEE
Summer Brenner,female,white,1990,Dancers & the Dance,fiction,COFFEE
Marianne Luban,female,white,1990,Samaritan Treasure,fiction,COFFEE
Constance Urdang,female,white,1990,Woman Who Read Novels & Peacetime,fiction,COFFEE
Constance Urdang,female,white,1990,"The woman who reads novels, and, Peactime: two novellas",fiction,COFFEE
Jane Smiley,female,white,1990,The life of the body: a story,fiction,COFFEE
Andrei Codrescu,male,white,1990,Aggresive hospitality: a story,fiction,COFFEE
Marianne Luban,female,white,1990,The Samaritan treasure stories,fiction,COFFEE
Frank Chin,male,asian,1991,Donald Duk,fiction,COFFEE
Rochelle Ratner,female,white,1991,Lion's Share,fiction,COFFEE
Nancy Lord,female,white,1991,Survival,fiction,COFFEE
W.P. Kinsella,male,white,1991,The first & last annual Six Towns Area old timers' baseball game,fiction,COFFEE
Russell Edson,male,white,1991,Tick-tock: short stories by Russell Edson,fiction,COFFEE
Stí©phane Mallarmí©,male,white,1991,In Reading ,fiction,COFFEE
Cris Mazza,female,white,1992,How to Leave a Country,fiction,COFFEE
Russell Edson,male,white,1992,The Song of Percival Peacock,fiction,COFFEE
Samuel Charters,male,white,1992,Elvis Presley Calls His Mother After the Ed Sullivan Show,fiction,COFFEE
Anne Panning,female,white,1992,Price of Eggs,fiction,COFFEE
Gloria Frym,female,na,1992,How I learned ,fiction,COFFEE
Jessica Tarahata Hagedorn,female,asian,1992,Two stories,fiction,COFFEE
Gary Fincke,male,white,1993,For Keepsies,fiction,COFFEE
Karen Tei Yamashita,female,asian,1993,Brazil-Maru,fiction,COFFEE
Kenneth Koch,male,white,1993,Hotel Lambosa,fiction,COFFEE
Sandra Bení_tez,female,latinx,1993,A Place Where the Sea Remembers,fiction,COFFEE
Richard Watson,male,white,1993,Niagara,fiction,COFFEE
Jessica Treat,female,white,1993,Robber in the House,fiction,COFFEE
Jessica Treat,female,white,1993,A robber in the house,fiction,COFFEE
"Frank Chin, Wang Ping, Karen Tei Yamashita, Lawson Fusao Inada","male, male, female, male",asian,1994,Asian American voices: a Coffee House Press Sampler,fiction,COFFEE
Anne Finger,female,white,1994,Bone Truth,fiction,COFFEE
Cris Mazza,female,white,1994,Exposed,fiction,COFFEE
Frank Chin,male,asian,1994,Gunga Din Highway,fiction,COFFEE
Wang Ping,female,asian,1994,American Visa,fiction,COFFEE
Alexs Pate,male,afam,1994,Losing Absalom,fiction,COFFEE
Barry Silesky,male,white,1994,One Thing That Can Save Us,fiction,COFFEE
Cris Mazza,female,white,1995,Your Name Here,fiction,COFFEE
Gary Eberle,male,white,1995,Angel Strings,fiction,COFFEE
Jonis Agee,female,white,1995,A .38 Special and a Broken Heart,fiction,COFFEE
Laurie Foos,female,white,1995,Ex Utero,fiction,COFFEE
Pamela Ditchoff,female,white,1995,The Mirror of Monsters and Prodigies,fiction,COFFEE
Shelley Berc,female,white,1995,The Shape of Wilderness,fiction,COFFEE
Gary Eberle,male,white,1995,Angel Strings,fiction,COFFEE
Cris Mazza,female,white,1995,The book group companion to Your name: a novel by Cris Mazza,fiction,COFFEE
Maxine Chernoff,female,white,1996,American Heaven: a novel,fiction,COFFEE
Paul C Metcalf,male,white,1996,Collected Works,fiction,COFFEE
Eileen Drew,female,white,1996,The Ivory Crocodile,fiction,COFFEE
M. Evelina Galang,female,asian,1996,Her Wild American Self,fiction,COFFEE
Maxine Chernoff,male,white,1996,American Heaven,fiction,COFFEE
Wang Ping,female,asian,1996,Foreign Devil,fiction,COFFEE
Kwadwo Agymah Kamau,male,black,1996,Flickering Shadow,fiction,COFFEE
George Rabasa,male,white,1996,Glass Houses,fiction,COFFEE
Marie Williams,female,white,1996,Worldwide Church of the Handicapped,fiction,COFFEE
Allan Appel,male,white,1997,High Holiday Sutra,fiction,COFFEE
Cris Mazza,female,white,1997,Dog People,fiction,COFFEE
Karen Tei Yamashita,female,asian,1997,Tropic of Orange,fiction,COFFEE
Laurie Foos,female,white,1997,Potrait of the Walrus by a Young Artist,fiction,COFFEE
Roberta Allen,female,white,1997,Certain People,fiction,COFFEE
Susan Welch,female,white,1997,Crowning the Queen of Love,fiction,COFFEE
Cris Mazza,female,white,1997,Dog People,fiction,COFFEE
George Rabasa,male,white,1997,Floating Kingdom,fiction,COFFEE
G.S. Sharat Chandra,male,asian,1998,Sari of the Gods ,fiction,COFFEE
Marisa Kantor Stark,male,white,1998,Bring Us the Old People,fiction,COFFEE
Frank Manley,male,white,1998,Cockfighter,fiction,COFFEE
Marilyn Krysl,female,white,1998,How to Accommodate Men,fiction,COFFEE
Linda Watanabe McFerrin,female,white,1998,Namako: Sea Cucumber,fiction,COFFEE
Debra Di Blasi,female,white,1999,Prayers of an Accidental Nature,fiction,COFFEE
Ellen Cooney,female,white,1999,the old ballerina,fiction,COFFEE
Jonis Agee,female,white,1999,Taking the Wall,fiction,COFFEE
Stephen Dixon,male,white,1999,Sleep ,fiction,COFFEE
John A. Williams,male,afam,1999,Clifford's Blues,fiction,COFFEE
Agymah Kamau,male,afam,1999,Pictures of a Dying Man,fiction,COFFEE
Ellen Cooney,female,white,1999,Old Ballerina ,fiction,COFFEE
Linda McFerrin Watanabe,female,asian,2000,The hand of Buddha,fiction,COFFEE
Norah Labiner,female,white,2000,Our Sometime Sister,fiction,COFFEE
Frank Manley,male,white,2000,Among Prisoners,fiction,COFFEE
John A. Williams,male,afam,2000,Captain Blackman,fiction,COFFEE
Danielle Sosin,female,white,2000,Garden Primitives,fiction,COFFEE
Linda Watanabe McFerrin,female,asian,2000,Hand of Buddha,fiction,COFFEE
Mary Sharratt,female,white,2000,Summit Avenue,fiction,COFFEE
Toby Olson,male,white,2000,Write Letter to Billy,fiction,COFFEE
Nancy Lord,female,white,2000,The man who swam with beavers: stories,fiction,COFFEE
Anthony Piccione,male,white,1975,Nearing Land,fiction,GRAY
David Wagoner,male,white,1975,A Guide to Dungeness Spit,fiction,GRAY
Jim Heynen,male,white,1976,The Man Who Kept Cigars in His Cap,fiction,GRAY
James Heynen,male,white,1976,The Funeral Parlor,fiction,GRAY
David Wagoner,male,white,1976,Traveling Light,fiction,GRAY
Tess Gallagher,female ,white,1978,Under Stars,fiction,GRAY
Jim Heynen,male,white,1979,The man who kept cigars in his cap,fiction,GRAY
Sara Vogan,female,white,1981,In Shelly's Leg,fiction,GRAY
Paulí© Bartí_n,male,afam,1982,The woe shirt: Caribbean folk tales,fiction,GRAY
Elizabeth Arthur,male,white,1983,Beyond the Mountains,fiction,GRAY
H.E. Bates,male,white,1984,My Uncle Silas,fiction,GRAY
Mavis Gallant,female,white,1984,Pegnitz Junction,fiction,GRAY
Ward Just,male,white,1984,Stringer,fiction,GRAY
Weldon Kees,male,white,1984,The Ceremony Other Stories,fiction,GRAY
Weldon Kees,male,white,1984,The Ceremony   ,fiction,GRAY
William Kittredge,male,white,1984,We are Not in This Together,fiction,GRAY
Edna O'Brien,female,white,1984,A Pagan Place,fiction,GRAY
Merce Rodoreda,male,white,1984,My Christina Other Stories,fiction,GRAY
David Romtvedt,male,white,1984,Free and Compulsory for All,fiction,GRAY
Tim Winton,male,white,1984,Shallows,fiction,GRAY
Rainer Maria Rilke,male,white,1985,The lay of the love and death of Cornet Christopher Rilke,fiction,GRAY
Ella Leffland,female,white,1985,Last Courtesies,fiction,GRAY
Scott Walker ,male,white,1985,Buying Time,fiction,GRAY
Scott Walker ,male,white,1985,Short Stories by Women,fiction,GRAY
MercíÂ Rodoreda,female,latinx,1986,The Time of the Doves,fiction,GRAY
Patricia Henley,female,white,1986,Friday Night at Silver Star,fiction,GRAY
Laura Kalpakian,female,white,1986,Fair Augusto Other Stories,fiction,GRAY
Brenda Peterson,female,white,1986,River of Light,fiction,GRAY
Kathleen Spivack,female,white,1986,The Honeymoon,fiction,GRAY
Scott Walker,male,white,1986,The Graywolf Annual 2: Short Stories by Women,fiction,GRAY
Scott Walker,male,white,1986,"The Graywolf Annual 3: Essays, Memoirs Reflections",fiction,GRAY
Geri Chavis,female,white,1987,Family,fiction,GRAY
Pierre Delattre,male,white,1987,Walking on Air ,fiction,GRAY
Scott Walker,male,white,1987,The Graywolf Annual 4: Short Stories by Men,fiction,GRAY
Paulette Bates Alden,female,white,1988,Feeding the Eagles,fiction,GRAY
Adolfo Bioy-Casares,male,white,1988,A Plan for Escape,fiction,GRAY
Catherine Gourley,female,white,1988,The Courtship of Joanna,fiction,GRAY
Brenda Peterson,female,white,1988,Becoming the Enemy,fiction,GRAY
David Quammen,male,white,1988,Blood Line,fiction,GRAY
Bernado Atxaga,male,latinx,1989,Obabakoak,fiction,GRAY
Martha Bergland,female,white,1989,A Farm Under a Lake,fiction,GRAY
John Haines,male,white,1989,"The Stars, the Snow, the Fire",fiction,GRAY
Scott Walker,male,white,1989,The Graywolf Annual 6: Stories from the Rest of the World ,fiction,GRAY
Georgia Savage,female,white,1989,The house Tibet,fiction,GRAY
Scott Walker ,male,white,1989,Stories from the rest of the world,fiction,GRAY
Scott Walker,male,white,1990,Stories from the American Mosaic,fiction,GRAY
Martin Adan,male,latinx,1990,The Cardboard House,fiction,GRAY
Joseph Geha,male,white,1990,Through and Through,fiction,GRAY
Katherine Jason,female,white,1990,Name and Tears Other Stories,fiction,GRAY
Scott Walker ,male,white,1990,The Graywolf Annual 7: Stories From the American Mosaic,fiction,GRAY
Will Weaver ,male,white,1990,A Gravestone Made of Wheat,fiction,GRAY
Melinda Worth Popham,female,white,1990,Skywater,fiction,GRAY
Louis Edwards,male,afam,1991,Ten Seconds,fiction,GRAY
R. A. Sasaki,female,asian,1991,The Loom And Other Stories,fiction,GRAY
Abby Frucht,female,white,1991,Fruit of the Month,fiction,GRAY
Abby Frucht,female,white,1991,Licorice,fiction,GRAY
Georgia Savage,male,white,1991,The House of Tibet,fiction,GRAY
Dorothy Sennett,female,white,1991,Vital Signs,fiction,GRAY
Scott Walker and Jennifer Regan,"male, female","white, white",1991,The Graywolf Annual 8: The New Family,fiction,GRAY
Scott Walker ,male,white,1991,The new family,fiction,GRAY
Tess Gallagher,female,white,1992,The Lover of Horses,fiction,GRAY
Nuruddin Farah,male,afam,1992,Sardines,fiction,GRAY
Nuruddin Farah,male,black,1992,Sweet and Sour MIlk,fiction,GRAY
Robin Hemley,male,white,1992,The Last Studebaker,fiction,GRAY
Patricia Henley,female,white,1992,The Secret of Cartwheels,fiction,GRAY
Scott Walker,male,white,1992,The Graywolf Annual 9: Stories from the New Europe,fiction,GRAY
Tim Winton,male,white,1992,Cloudstreet,fiction,GRAY
Nuruddin Farah,male,black,1992,Close Sesame,fiction,GRAY
Scott Walker,male,white,1992,Stories from the New Europe,fiction,GRAY
Diana Darling ,female,white,1992,The painted alphabet,fiction,GRAY
Pascal Quignard,male,white,1992,All the world's morning,fiction,GRAY
Tim Winton,male,white,1993,Shallows,fiction,GRAY
John Haines,male,white,1993,Owl in the Mask of the Dreamer,fiction,GRAY
Janet Kauffman,female,white,1993,Collaborators,fiction,GRAY
Brian Kiteley,male,white,1993,Still Life with Insects,fiction,GRAY
Jim Lewis,male,white,1993,Sister,fiction,GRAY
D. Nurkse,male,white,1993,Voices Over Water,fiction,GRAY
Pascal Quignard,male,white,1993,All the World's Mornings,fiction,GRAY
Merce Rodoreda,male,white,1993,Camellia Street,fiction,GRAY
Georgia Savage,male,white,1993,The Estuary,fiction,GRAY
Scott Walker,male,white,1993,The Graywolf Annual 10: Changing Community,fiction,GRAY
Alex Miller,male,white,1993,The ancestor game,fiction,GRAY
Thomas Williams,male,white,1993,"Leah, New Hampshire",fiction,GRAY
Mary Franí_ois Rockcastle,female,white,1994,Rainy Lake,fiction,GRAY
Daniel Duane,male,white,1994,Lighting Out,fiction,GRAY
James D. Houston,male,white,1994,The Men in My Life,fiction,GRAY
Alex Miller,male,white,1994,The Ancestor Game,fiction,GRAY
Josip Noakovich,male,white,1994,Apricots from Chernobyl: narratives,fiction,GRAY
Joe Coomer,male,white,1995,Beachcombing for a Shipwrecked God,fiction,GRAY
Robin Hemley,male,white,1995,The Big Ear: Stories,fiction,GRAY
Josip Novakovich,male,white,1995,Yolk,fiction,GRAY
Josip Novakovich,male,white,1995,Salvation and Other Disasters,fiction,GRAY
David Treuer,male,white,1995,Little,fiction,GRAY
Mary Franí_ois Rockcastle,female,white,1996,Rainy Lake,fiction,GRAY
Gontran de Poncins,male,white,1996,Kabloona,fiction,GRAY
Percival Everett,male,afam,1996,Big Picture,fiction,GRAY
Percival Everett,male,afam,1996,Watershed,fiction,GRAY
Janet Kauffman,female,white,1996,Places in the World a Woman Could Walk,fiction,GRAY
Lewis Libby,male,white,1996,The Apprentice,fiction,GRAY
Elizabeth Cox,female,white,1997,Night Talk,fiction,GRAY
William Maxwell,male,white,1997,The Outermost Dream Literary Sketches,fiction,GRAY
Martha Bergland,female,white,1997,Idle Curiousity,fiction,GRAY
Percival Everett,male,afam,1997,Frenzy,fiction,GRAY
Janet Kauffman,female,white,1997,Characters on the Loose,fiction,GRAY
Peter Weltner ,male,white,1997,The Risk of His Music,fiction,GRAY
Larry Woiwode,male,white,1997,Beyond the Bedroom,fiction,GRAY
Josip Novakovich,male,white,1998,Salvation and other disasters,fiction,GRAY
Alvin Greenberg,male,white,1998,How the Dead Live,fiction,GRAY
Paul Lisicky,male,white,1998,Lawnboy,fiction,GRAY
George Packer,male,white,1998,Central Square,fiction,GRAY
Elizabeth Searle,female,white,1998,A Four-Sided Bed,fiction,GRAY
Dorothy Sennett,female,white,1998,Full Measure,fiction,GRAY
Anne D. Czarniecki,female,white,1999,The Graywolf Silver Anthology: a rare breed pf published years ,fiction,GRAY
Steve Stern,male,white,1999,The Wedding Jester,fiction,GRAY
Percival Everett,male,afam,1999,Glyph,fiction,GRAY
Laura Kalpakian,female,white,1999,The Delinquent Virgin,fiction,GRAY
Steve Stern,male,white,1999,The Wedding,fiction,GRAY
Peter Weltner ,male,white,1999,How the Body Prays,fiction,GRAY
Jade Ngoc Quang Huynh,male,asian,2000,South Wind Changing,fiction,GRAY
Jessica Treadway,female,white,2000,And Give You Peace,fiction,GRAY
Alyson Hagy,female,white,2000,Graveyard of the Atlantic ,fiction,GRAY
Perrin Ireland,female,white,2000,Ana Imagined,fiction,GRAY
Clint McCown,male,white,2000,War Memorials,fiction,GRAY
